Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
ABBN,ABB LTD N,Producer manufacturing,90.365,49.22,79779,1.82,1.79,28.737,-1.63,10.459,4.298,5.004,93.998
ACLN,ACCELLERON N,Producer manufacturing,4.127,43.58,11387,0.97,1.94,0.821952,,0.346715,0.121961,0.14898,4.38
ADEN,ADECCO N,Commercial services,4.985,30.02,24756,1.75,8.25,22.848,-4.56,4.563,0.572978,0.817024,8.074
AEVS,AEVIS N,Health services,1.333,15.8,1,-0.47,2.88,0.914363,11.07,0.170087,-0.060171,0.001766,2.3
ALC,ALCON N,Health technology,40.386,80.68,8574,1.87,0.3,8.472,-0.07,4.722,1.258,2.337,43.942
ALLN,ALLREAL N,Finance,2.553,155.0,29,3.95,4.52,0.4283,-22.54,0.2263,0.1748,0.177,5.232
ALSN,ALSO N,Distribution services,3.077,241.0,2262,9.69,2.02,9.673,-27.78,0.374323,0.196606,0.239944,2.73
ARYN,ARYZTA N,Retail trade,1.653,1.667,12340,,0.0,,,,,,2.461
AVOL,AVOLTA N,Retail trade,5.347,34.88,4091,0.53,2.01,12.79,226.65,3.895,0.7776,2.417,15.906
BAER,JULIUS BAER N,Finance,10.323,52.18,8261,2.2,5.0200000000000005,5.824,28.59,,0.5136,,6.697
BALN,BALOISE N,Finance,7.12,157.2,979,5.29,4.87,9.539,-5.66,,0.3812,,9.521
BANB,BACHEM N,Health technology,6.461,85.65,528,1.49,0.9299999999999999,0.577316,14.719999999999999,0.176963,0.128562,0.165918,6.163
BARN,BARRY CALLEBAUT N,Consumer non-durables,7.734,1405.0,337,52.23,2.03,8.933,15.17,1.347,0.647746,0.980987,10.371
BCG,EBC GENEVE N,Finance,2.025,286.0,10,32.46,2.25,0.801344,71.07,,0.253532,,2.222
BCHN,BURCKHARDT N,Producer manufacturing,2.085,615.0,505,26.61,1.9300000000000002,0.981963,50.91,0.262063,0.115971,0.134891,2.148
BCV,NBC VAUD N,Finance,8.14,94.65,1314,5.46,4.51,1.597,44.54,,0.5415,,11.913
BEAN,BELIMO N,Producer manufacturing,6.568,532.0,725,12.13,1.63,0.883955,10.91,0.251819,0.160769,0.196724,6.51
BEKN,BEKB / BCBE N,Finance,2.171,235.0,57,,4.24,0.735035,47.83,,0.197181,,3.849
BELL,BELL FOOD GROUP N,Consumer non-durables,1.571,250.5,1401,20.64,2.78,4.514,8.73,0.5914,0.1648,0.3387,2.373
BKW,BKW N,Utilities,8.094,153.8,615,9.06,2.22,4.433,31.14,0.7686,0.571,0.9528,9.416
BOSN,BOSSARD N,Producer manufacturing,1.696,219.0,157,8.71,1.7999999999999998,1.001,-7.82,0.32424,0.101531,0.127249,1.944
BUCN,BUCHER N,Producer manufacturing,3.788,364.5,698,34.38,3.6799999999999997,3.575,12.540000000000001,0.8216,0.4244,0.5104,3.412
CFR,RICHEMONT N,Consumer durables,79.46,133.2,58060,,1.8599999999999999,19.802,-3.14,13.448,4.674,6.047,76.527
CLN,CLARIANT N,Process industries,4.792,14.53,9943,0.4,2.86,4.377,0.11,1.2,0.483,0.719,5.71
CMBN,CEMBRA MONEY BANK N,Finance,2.313,77.35,1258,5.38,5.11,0.590594,15.110000000000001,,0.196173,,4.469
COTN,COMET N,Health technology,2.822,357.5,1854,1.98,0.27999999999999997,0.397453,-22.63,0.162926,0.017135,0.037153,2.831
DAE,DAETWYLER I,Producer manufacturing,2.955,172.4,1138,3.93,1.7999999999999998,1.151,21.52,0.2402,0.0992,0.1794,3.472
DESN,DOTTIKON ES N,Process industries,3.507,253.5,56,5.84,0.0,0.32627,29.509999999999998,0.108799,0.089816,0.110454,3.406
DKSH,DKSH N,Distribution services,4.443,68.1,9520,2.92,3.34,10.883,-2.95,0.7494,0.311,0.4385,4.779
DOKA,DORMAKABA N,Electronic technology,2.206,524.0,40,6.23,1.81,2.805,7.01,1.139,0.2177,0.3824,2.853
EFGN,EFG INTERNATIONAL N,Finance,4.237,13.54,24708,0.91,4.12,2.441,49.32,,0.3903,,0.574852
EMMN,EMMI N,Consumer non-durables,4.911,909.0,29,34.82,1.68,4.242,8.450000000000001,0.874349,0.26113600000000003,0.375822,5.344
EMSN,EMS-CHEMIE N,Process industries,16.91,722.0,155,19.56,2.74,2.189,-2.88,,0.492551,0.542176,16.484
FHZN,FLUGHAFEN ZUERICH N,Transportation,6.256,203.0,545,9.91,2.64,1.236,81.81,0.4538,0.4214,0.6811,7.221
FORN,FORBO N,Consumer durables,1.495,1046.0,20,72.44,2.37,1.175,-6.28,0.4017,0.1299,0.18,1.466
GALE,GALENICA N,Distribution services,3.73,75.3,213,5.72,2.9000000000000004,3.746,-2.31,0.377584,0.192296,0.295296,4.392
GEBN,GEBERIT N,Producer manufacturing,19.131,566.6,1278,18.35,2.25,3.084,-10.88,1.295,0.903,1.055,20.096
GFG,EORG FISCHER N,Producer manufacturing,5.384,65.35,4439,2.55,1.95,4.472,15.909999999999998,1.175,0.373,0.522,7.49
GGALD,GALDERMA GROUP N,Health technology,16.979,69.42,2656,,0.0,,,,,,20.798
GIVN,GIVAUDAN N,Consumer non-durables,38.111,4150.0,884,96.47,1.58,6.915,3.46,2.719,1.116,1.472,42.413
GRKP,GRAUB KB PS,Finance,1.282,1715.0,1,87.61,2.75,0.755266,64.95,,0.232404,,4.655
HELN,HELVETIA HOLDING N,Finance,6.893,129.8,610,5.35,4.859999999999999,10.496,-16.6,,0.5077,,9.967
HOLN,HOLCIM N,Non-energy minerals,48.994,84.84,32792,5.35,3.3300000000000005,27.009,0.65,11.498,4.457,6.434,56.812
HUBN,HUBER+SUHNER N,Electronic technology,1.431,76.9,122,3.47,2.1999999999999997,0.851062,-1.38,0.300569,0.073929,0.106869,1.27
IFCN,INFICON N,Electronic technology,3.274,1324.0,26,38.79,1.49,0.605264,28.34,0.278108,0.121389,0.136567,3.236
INRN,INTERROLL N,Producer manufacturing,2.233,2705.0,278,80.56,1.17,0.556338,-13.08,0.164881,0.083853,0.106296,2.099
IREN,INVESTIS N,Finance,1.324,104.0,40,-0.42,2.4,0.23153,7.19,0.201954,0.045979,0.050062,1.717
KARN,KARDEX N,Electronic technology,1.854,240.0,26,8.38,2.08,0.68246,38.74,0.229002,0.088556,0.097396,1.744
KNIN,KUEHNE+NAGEL INT N,Transportation,32.359,272.4,20779,10.48,3.7900000000000005,22.609,-37.18,2.888,1.625,2.409,32.83
LAND,LANDIS+GYR N,Producer manufacturing,2.269,79.1,3120,3.35,2.8400000000000003,1.739,29.29,0.496396,0.138743,0.203128,2.468
LEHN,LEM N,Electronic technology,1.618,1410.0,42,57.26,3.62,0.405777,8.67,0.189163,0.080903,,1.69
LISN,LINDT N,Consumer non-durables,24.936,106000.0,7,,1.3,5.276,10.42,,0.8504,,24.936
LLBN,LIECHT LANDBK N,Finance,2.191,71.2,893,5.34,3.7199999999999998,0.966743,41.39,,0.193345,,-0.653165
LOGN,LOGITECH N,Electronic technology,12.257,80.72,27656,3.91,1.31,3.916,-4.46,1.62,0.602817,0.674984,10.878
LONN,LONZA N,Health technology,37.562,519.0,3416,8.88,0.7799999999999999,6.717,24.18,1.948,1.313,1.934,39.086
LUKN,LUZERNER KB N,Finance,3.311,66.6,78,12.17,3.75,1.259,52.239999999999995,,0.283126,,20.057
MOBN,MOBIMO N,Finance,1.909,263.0,294,6.43,3.82,0.233969,-15.53,0.164773,0.12528,0.127778,3.486
MOVE,MEDACTA GROUP N,Health technology,2.468,123.4,3008,2.31,0.44999999999999996,0.496262,26.44,0.33802,0.072843,0.129595,2.638
NEAG,NATURENERGIE N,Utilities,1.26,38.1,629,3.16,2.34,1.941,55.53,0.105128,0.105128,0.159944,1.253
NESN,NESTLE N,Consumer non-durables,242.327,93.9,120575,4.23,3.17,92.998,6.79,42.67,16.018,19.476,292.362
NOVN,NOVARTIS N,Health technology,190.505,94.92,144018,6.97,3.4299999999999997,42.204,-13.14,30.934,12.193,18.55,209.125
OERL,OC OERLIKON N,Process industries,1.604,4.904,11211,0.1,4.05,2.693,1.66,0.651,0.156,0.372,2.78
PGHN,PARTNERS GROUP N,Finance,32.15,1211.0,623,38.55,3.2399999999999998,2.171,-25.81,1.903,1.26,1.301,33.344
